Ad?,Company Name,Stars,Phone Number,Yelp URL,Company URL,Email,Street Address,City,State,ZIP,Exception
Natural,Aaron Bollman & Company,5.0,(646) 308-1632,http://yelp.com/biz/aaron-bollman-and-company-new-york,http://www.aaronbollmanandcompany.com,,160 Riverside BlvdSte 8P,New York,NY,10069,
Natural,SDH Architects,5.0,(917) 447-2050,http://yelp.com/biz/sdh-architects-brooklyn,http://www.sdharchitects.com,,24 Montgomery PlFl 2,Brooklyn,NY,11215,
Natural,Paris K Interior Design,5.0,(212) 532-4506,http://yelp.com/biz/paris-k-interior-design-manhattan,http://www.pariskdesign.com,,31 E 31st St,Manhattan,NY,10016,
Natural,The Renovated Home 1 Ltd,5.0,(212) 517-7020,http://yelp.com/biz/the-renovated-home-1-ltd-new-york,http://www.therenovatedhome.com/,,1477 3rd AveSte 2,New York,NY,10028,
Natural,Derk Garlick Architects LLC,5.0,(201) 330-8182,http://yelp.com/biz/derk-garlick-architects-llc-hoboken,http://www.derkg.com,,720 Monroe StSte E301-B,Hoboken,NJ,07030,
Natural,SubenDougherty,5.0,(212) 524-8500,http://yelp.com/biz/subendougherty-new-york,http://www.subendougherty.com,,233 Spring StSte 801,New York,NY,10013,
Natural,Stone Surfaces,3.5,(201) 935-8803,http://yelp.com/biz/stone-surfaces-east-rutherford,https://stonesurfacesnj.com/,,890 Paterson Plank Rd,East Rutherford,NJ,07073,
Natural,Kcc Architects,5.0,(718) 392-0078,http://yelp.com/biz/kcc-architects-long-island-city,http://www.kccarch.com,,3718 Northern BlvdSte 419,Long Island City,NY,11101,
Natural,Anderson Architects,5.0,(212) 620-0996,http://yelp.com/biz/anderson-architects-new-york,http://www.andersonarch.com,,467 Greenwich St,New York,NY,10013,
Natural,RMF Architect,5.0,(609) 720-1234,http://yelp.com/biz/rmf-architect-princeton,http://www.rmfarchitect.net,,12 Roszel RdSte C203,Princeton,NJ,08540,
Natural,A Architecture Studio,5.0,(718) 805-2797,http://yelp.com/biz/a-architecture-studio-queens,http://www.architecturestudio.com,,11231 84th Ave,Queens,NY,11418,
Natural,Andrew Mikhael Architect,5.0,(212) 729-7554,http://yelp.com/biz/andrew-mikhael-architect-new-york,http://andrewmikhael.com/,,85 Delancey StSte 23,New York,NY,10002,
Natural,Nomad Architecture,5.0,(718) 786-5600,http://yelp.com/biz/nomad-architecture-long-island-city,http://www.nomadarchitecture.com,,5102 21st St7th Fl,Long Island City,NY,11101,
