Ad?,Company Name,Stars,Phone Number,Yelp URL,Company URL,Email,Street Address,City,State,ZIP,Exception
Natural,Cherry Thomas C Jr MD,N/A,(860) 887-2567,http://yelp.com/biz/cherry-thomas-c-jr-md-norwich,http://drthomascherry.com,,18 Oneco St Ste 2,Norwich,CT,6360,
Natural,Di Stefano Hair Restoration Center,N/A,(401) 736-8989,http://yelp.com/biz/di-stefano-hair-restoration-center-warwick,http://www.hairman.com,,200 Toll Gate RdSte 103,Warwick,RI,2886,
Natural,"Stephen A. Pap, MD",N/A,(508) 647-6747,http://yelp.com/biz/stephen-a-pap-md-sherborn-2,http://www.drpap.com/,,5 Washington St,Sherborn,MA,1770,
Natural,"Enzer R. Yoash, MD",N/A,(401) 274-4464,http://yelp.com/biz/enzer-r-yoash-md-providence,http://www.doctorenzer.com,,120 Dudley StSte 104,Providence,RI,2905,
Natural,New England Plastic Surgical Associates,5,(617) 244-2600,http://yelp.com/biz/new-england-plastic-surgical-associates-newton,http://www.cosmeticsurgeryexperts.com,,29 Crafts StSte 370,Newton,MA,2458,
Natural,The Newbury Center,3.5,(617) 375-0500,http://yelp.com/biz/the-newbury-center-boston-7,http://www.thenewburycenter.com,,69 Newbury St,Boston,MA,2116,
Natural,SmartLipo - Spa Noor,N/A,(774) 488-4130,http://yelp.com/biz/smartlipo-spa-noor-fall-river,http://www.spanoor.com/smart-lipo.html,,373 New Boston Rd,Fall River,MA,2720,
Natural,Bahr Robt L MD,N/A,(401) 272-2020,http://yelp.com/biz/bahr-robt-l-md-providence,http://Www.Rieyeinstitute.Com,,150 E Manning St,Providence,RI,2906,
Natural,"Cynthia M Poulos, MD",2.5,(508) 393-4544,http://yelp.com/biz/cynthia-m-poulos-md-northborough,http://www.drpoulos.com/,,17 South St,Northborough,MA,1532,
Natural,DiStefano Hair Restoration Center,5,(888) 609-4247,http://yelp.com/biz/distefano-hair-restoration-center-wellesley,http://www.hairman.com,,40 Walnut StSte 202,Wellesley,MA,2481,
