Ad?,Company Name,Stars,Phone Number,Yelp URL,Company URL,Email,Street Address,City,State,ZIP
Natural,20/10 Vision Care Optometry,4.5,(626) 296-8416,http://yelp.com/biz/20-10-vision-care-optometry-altadena,http://2010visioncare.com/,,2212 N Lincoln Ave,Altadena,CA,91001
Natural,20/20 Optometric Eye Care,4.5,(661) 287-3939,http://yelp.com/biz/20-20-optometric-eye-care-valencia,http://www.scveyes.com/,,23300 Cinema DrSte 210,Valencia,CA,91355
Natural,Acacio Fertility Center,4.5,(949) 249-9200,http://yelp.com/biz/acacio-fertility-center-laguna-niguel-2,http://www.acaciofertility.com,,27882 Forbes RdSte 200,Laguna Niguel,CA,92677
Natural,AcuVision Family Optometry,5,(562) 696-1883,http://yelp.com/biz/acuvision-family-optometry-whittier,http://www.acuvisioneye.com,,8522 S Painter Ave,Whittier,CA,90602
Natural,Advance Vision Optometric Center,5,(626) 458-2020,http://yelp.com/biz/advance-vision-optometric-center-monterey-park,http://www.myadvancevision.com,,500 N Atlantic BlvdSte 151,Monterey Park,CA,91754
Natural,Advanced Eyecare Center of Manhattan Beach,4.5,(310) 321-6990,http://yelp.com/biz/advanced-eyecare-center-of-manhattan-beach-el-segundo,http://www.advancedeyecarecenter.net,,2101 Rosecrans AveSte 1215,El Segundo,CA,90245
Natural,Advanced Eyecare Center of Redondo Beach,5,(310) 373-3191,http://yelp.com/biz/advanced-eyecare-center-of-redondo-beach-redondo-beach,http://www.advancedeyecarecenter.net,,310 Ave I,Redondo Beach,CA,90277
Natural,Advanced Eyecare Optometric Center,5,(949) 733-3390,http://yelp.com/biz/advanced-eyecare-optometric-center-irvine,http://www.AdvancedEyecareOC.com/,,22 OdysseySte 150,Irvine,CA,92618
Natural,Advanced Family Vision Optometry,4.5,(805) 523-3440,http://yelp.com/biz/advanced-family-vision-optometry-moorpark,http://www.moorparkvisioncenter.com,info@moorparkvisioncenter.com,766 Los Angeles AveSte D3,Moorpark,CA,93021
Natural,Advanced Optometrics,4.5,(805) 379-1555,http://yelp.com/biz/advanced-optometrics-westlake-village,http://www.advancedoptometrics.com,,1014 S Westlake BlvdSte 10,Westlake Village,CA,91361
Natural,Advanced Vision Care,4,(310) 229-1220,http://yelp.com/biz/advanced-vision-care-los-angeles,http://www.advancedvisioncare.com,Contact Form,2080 Century Park ESte 911,Los Angeles,CA,90067
Natural,Affordable Family Vision Center,5,(909) 624-3024,http://yelp.com/biz/affordable-family-vision-center-montclair,http://affordablefamilyvision.com/,,5153 Holt BlvdSte A6,Montclair,CA,91763
Natural,Agoura Family Optometry,5,(818) 865-2020,http://yelp.com/biz/agoura-family-optometry-agoura-hills,http://agourafamilyoptometry.com,Contact Form,5849 Kanan Rd,Agoura Hills,CA,91301
Natural,Agoura West Valley Optometric Center,4,(818) 340-5796,http://yelp.com/biz/agoura-west-valley-optometric-center-canoga-park-3,http://valleyeyedoctors.com,agoffice@valleyeyedoctors.com,6800 Owensmouth AveSte 400,Canoga Park,CA,91303
Natural,Akamine Davidson Sandra OD,4.5,(951) 784-2420,http://yelp.com/biz/sandra-akamine-davidson-od-riverside-4,http://www.drakaminedavidson.com,DrSDavidson@gmail.com,4515 Central Ave,Riverside,CA,92506
Natural,"Alan I Mandelberg, MD Inc",5,(818) 762-0647,http://yelp.com/biz/alan-i-mandelberg-md-inc-north-hollywood,http://www.acvci.com/,2020@acvci.com,4418 Vineland AveSte 106,North Hollywood,CA,91602
Natural,"Alan M Berg, MD",4,(818) 501-3937,http://yelp.com/biz/alan-m-berg-md-sherman-oaks,http://www.bergfeinfield.com,Contact Form,13320 Riverside DrSte 114,Sherman Oaks,CA,91423
Natural,"Alex C Liu, OD",5,(909) 468-4622,http://yelp.com/biz/alex-c-liu-od-rowland-heights,http://www.alexcorbinliu.com,Contact Form,19735 E Colima RdSte 4,Rowland Heights,CA,91748
Ad,"Alexander Sinclair, MD",5,(310) 775-2346,http://www.yelp.com/biz/alexander-sinclair-md-beverly-hills-5,http://www.alexandersinclairmd.com,Contact Form,9884 Santa Monica Blvd,Beverly Hills,CA,90212
Natural,Aliso Niguel Optometry,5,(949) 448-7464,http://yelp.com/biz/aliso-niguel-optometry-laguna-niguel,http://www.alisonigueloptometry.com,AlisoNiguelOptometry@gmail.com,27270 Alicia PkwySte D,Laguna Niguel,CA,92677
Natural,Aliso Optometry,4.5,(949) 362-3500,http://yelp.com/biz/aliso-optometry-aliso-viejo-2,http://www.alisooptometry.com,,27792 Aliso Creek RdSte B124,Aliso Viejo,CA,92656
Natural,All Eye Care Optometry,4.5,(805) 495-4625,http://yelp.com/biz/all-eyecare-optometry-thousand-oaks,http://www.aecoptometry.com,AECOptometry@gmail.com,277 Hampshire Rd,Thousand Oaks,CA,91361
Natural,All Eyes On You Optometry,4.5,(818) 774-9796,http://yelp.com/biz/all-eyes-on-you-optometry-reseda,http://www.alleyesonu.com,alleyesonuoptometry@gmail.com,6811 White Oak Ave,Reseda,CA,91335
Natural,Allan D Zeltser,4.5,(661) 259-1662,http://yelp.com/biz/allan-d-zeltser-od-valencia,http://drallandzeltser.com,MyDrZ@drallandzeltser.com,25862 McBean Pkwy,Valencia,CA,91355
Natural,Allred Family Eye Care,5,(714) 526-5515,http://yelp.com/biz/allred-family-eye-care-fullerton,http://www.allredeye.com,Contact Form,1342 E Chapman Ave,Fullerton,CA,92831
Natural,Aloha Family Optometry,5,(714) 996-3937,http://yelp.com/biz/aloha-family-optometry-placentia,http://www.alohafamilyoptometry.com/,,1874 N Placentia Ave,Placentia,CA,92870
Natural,AMC Plaza Vision Optometry,5,(626) 359-3937,http://yelp.com/biz/amc-plazavision-optometry-city-industry,http://plazavisionoptometry.com/,plazavisionoptometry@yahoo.com,18045 Gale Ave,City Industry,CA,91748
Natural,Ami Patel Optometry,5,(909) 598-4393,http://yelp.com/biz/ami-patel-optometry-diamond-bar,http://www.dramipatel.com,info@dramipatel.com,2771 S Diamond Bar Blvd,Diamond Bar,CA,91765
Natural,Amy Kim Optometry,4,(310) 542-7070,http://yelp.com/biz/amy-kim-optometry-torrance,http://www.amykimoptometry.com,amy@amykimoptometry.com,21880 Hawthorne BlvdSte 340,Torrance,CA,90503
Natural,Anaheim Hills Family Optometry Inc.,4.5,(714) 998-2020,http://yelp.com/biz/anaheim-hills-family-optometry-inc-anaheim-2,http://www.drcharm.com,info@drcharm.com,6200 E Canyon Rim RdSuite 101,Anaheim,CA,92807
