Ad?,Company Name,Stars,Phone Number,Yelp URL,Company URL,Email,Street Address,City,State,ZIP,Contacted?,83
Natural,Advanced Cosmetic & Plastic Surgery,N/A,(203) 438-5080,http://yelp.com/biz/advanced-cosmetic-and-plastic-surgery-ridgefield?osq=plastic+surgery,http://www.acpsurgery.com,,901 Ethan Allen Hwy,Ridgefield,CT,6877,Contacted,
Natural,A Fine Line Medical Skincare By Nancy Rinaldi _’Â LLC,N/A,(203) 431-7924,http://yelp.com/biz/a-fine-line-medical-skincare-by-nancy-rinaldi-llc-ridgefield?osq=plastic+surgery,http://www.afinelinemedicalskincare.com,,871 Ethan Allen HwySte 101,Ridgefield,CT,6877,Contacted,
Natural,"Anya Kishinevsky, M.D.",N/A,(203) 259-5075,http://yelp.com/biz/anya-kishinevsky-md-fairfield?osq=plastic+surgery,http://www.anyakishinevskymd.com/,,55 Walls DrSte 405,Fairfield,CT,6824,Contacted,
Natural,Rosenthal Jeffrey _’Â MD,5,(203) 335-3223,http://yelp.com/biz/rosenthal-jeffrey-md-fairfield?osq=plastic+surgery,http://www.artofplasticsurgery.com,,140 Sherman St,Fairfield,CT,6824,Contacted,
Natural,"Michael Baroody, MD",N/A,(203) 790-5700,http://yelp.com/biz/michael-baroody-md-danbury?osq=plastic+surgery,http://www.baroodyplasticsurgery.com,,51-53 Kenosia AveSte 201,Danbury,CT,6810,Contacted,
Natural,"Beth Collins, MD",N/A,(203) 689-5295,http://yelp.com/biz/beth-collins-md-guilford?osq=plastic+surgery,http://www.bethcollinsmd.com/,,"2614 Boston Post RdWillow Hall, Ste 16",Guilford,CT,6437,Contacted,
Natural,Tito L Vasquez MD,3.5,(203) 292-8119,http://yelp.com/biz/tito-l-vasquez-md-southport?osq=plastic+surgery,http://www.ctpsg.com/,,Connecticut Plastic Surgery Group2600 Post RdSte 206,Southport,CT,6890,Contacted,
Natural,"David Passaretti, MD",N/A,(203) 405-2984,http://yelp.com/biz/david-passaretti-md-darien?osq=plastic+surgery,http://www.davidpassarettimd.com,,722 Post RdSte 200,Darien,CT,6820,Contacted,
Natural,Dolce Vida Medical Spa,3.5,(203) 513-8457,http://yelp.com/biz/dolce-vida-medical-spa-shelton?osq=plastic+surgery,http://www.dolcevidamedspa.com,,163 Leavenworth Rd,Shelton,CT,6484,Contacted,
Natural,Ear Nose & Throat Allergy & Facial Plastic Surgery Specialists L,N/A,(203) 256-3338,http://yelp.com/biz/ear-nose-and-throat-allergy-and-facial-plastic-surgery-specialists-l-southport?osq=plastic+surgery,http://www.drbchervin.com,,2600 Post Rd Ste 3,Southport,CT,6890,,
