Ad?,Company Name,Stars,Phone Number,Yelp URL,Company URL,Email,,,,
Ad,"Arthur Shektman, MD",N/A,(781) 239-0680,http://www.yelp.com/biz/arthur-shektman-md-wellesley,http://wellesleycosmeticsurgery.com,,332 Washington StSte 340,Wellesley,MA,02481
Ad,AFC Doctors Express Urgent Care,N/A,(508) 658-0764,http://www.yelp.com/biz/afc-doctors-express-urgent-care-marlborough,http://www.doctorsexpressmarlborough.com/,,42 Boston Post Road West,Marlborough,MA,01752
Natural,"Christopher J Davidson, MD",4.0,(781) 237-7700,http://yelp.com/biz/christopher-j-davidson-md-wellesley-hills?osq=plastic+surgery,http://www.christopherdavidsonmd.com,,332 Washington StSte 100,Wellesley Hills,MA,02481
Natural,OРІР‚в„ўSullivan Plastic Surgery,4.5,(781) 235-1007,http://yelp.com/biz/o-sullivan-plastic-surgery-wellesley?osq=plastic+surgery,http://www.osullivanplasticsurgery.com,,14 Denton Rd,Wellesley,MA,02482
Natural,Longwood Plastic Surgery,5.0,(617) 383-6250,http://yelp.com/biz/longwood-plastic-surgery-brookline?osq=plastic+surgery,http://www.lpsmd.com/,,235 Cypress StSte 210,Brookline,MA,02445
Natural,Polacek Center For Plastic Surgery,3.0,(401) 331-0202,http://yelp.com/biz/polacek-center-for-plastic-surgery-cranston?osq=plastic+surgery,http://www.polacekplasticsurgery.com,,2000 Chapel View BlvdSte 110,Cranston,RI,02920
Natural,"Jeffrey Spiegel, MD - Advanced Facial Aesthetics",5.0,(617) 566-3223,http://yelp.com/biz/jeffrey-spiegel-md-advanced-facial-aesthetics-chestnut-hill?osq=plastic+surgery,http://www.drspiegel.com/,,1200 Boylston St,Chestnut Hill,MA,02467
Natural,Medical Face & Body Aesthetics,3.0,(508) 505-6474,http://yelp.com/biz/medical-face-and-body-aesthetics-dedham-2?osq=plastic+surgery,http://www.medfacebody.com,,200 Providence Hwy,Dedham,MA,02026
Natural,"Patrick K Sullivan, MD",5.0,(401) 831-8300,http://yelp.com/biz/patrick-k-sullivan-md-providence?osq=plastic+surgery,http://www.drsullivan.com/,,235 Plain StSte 502,Providence,RI,02905
Natural,"Dave E David, MD",5.0,(508) 505-6474,http://yelp.com/biz/dave-e-david-md-dedham?osq=plastic+surgery,http://www.medfacebody.com,,200 Providence Hwy,Dedham,MA,02026
Natural,"Frank P. Fechner, MD",4.0,(508) 754-4000,http://yelp.com/biz/frank-p-fechner-md-worcester?osq=plastic+surgery,http://www.DrFechner.com,,Facial Plastic Surgery428 Shrewsbury St,Worcester,MA,01604
Natural,The Newbury Center,3.5,(617) 375-0500,http://yelp.com/biz/the-newbury-center-boston-7?osq=plastic+surgery,http://www.thenewburycenter.com,,69 Newbury St,Boston,MA,02116
Ad,"DeRosa Facial Plastic Surgery, PC",N/A,(617) 262-8000,http://www.yelp.com/biz/derosa-facial-plastic-surgery-pc-boston,http://www.drjaimiederosa.com,,91 Newbury StSte 300,Boston,MA,02116
Ad,"Meeks & Zilberfarb Orthopedics Associates, PC",4.0,(617) 232-2663,http://www.yelp.com/biz/meeks-and-zilberfarb-orthopedics-associates-pc-brookline,http://www.mzortho.com,,1101 Beacon StSuite 5W,Brookline,MA,02446
