Ad?,Company Name,Stars,Phone Number,Yelp URL,Company URL,Email,Street Address,City,State,ZIP,Contacted?
Ad,The Liposuction and Cosmetic Surgery Institute,N/A,(847) 259-1000,http://www.yelp.com/biz/the-liposuction-and-cosmetic-surgery-institute-arlington-heights,http://www.lipodoc.com,,1700 W Central Rd,Arlington Heights,IL,60005,
Natural,The Geldner Center,4,(312) 981-4440,http://yelp.com/biz/the-geldner-center-chicago-2?osq=plastic+surgery,http://www.mygeldnercenter.com,,680 N Lake Shore DrSte 1325,Chicago,IL,60611,Contacted
Natural,"Brian M Braithwaite, MD",5,(312) 258-9100,http://yelp.com/biz/brian-m-braithwaite-md-chicago-3?osq=plastic+surgery,http://www.aestheticinstitutechicago.com,,601 W Randolph St,Chicago,IL,60661,Contacted
Natural,"George T Moynihan, MD - Gold Coast Plastic Surgery",5,(312) 988-9300,http://yelp.com/biz/george-t-moynihan-md-gold-coast-plastic-surgery-chicago?osq=plastic+surgery,http://www.goldcoastplasticsurgery.com,,1 E Erie StSte 640,Chicago,IL,60611,Contacted
Natural,"Robert D. Galiano, MD",5,(312) 695-4778,http://yelp.com/biz/robert-d-galiano-md-chicago?osq=plastic+surgery,http://www.robertgalianomd.com,,675 N St Clair StSte 19-250,Chicago,IL,60611,Contacted
Natural,Michael Horn Center For Cosmetic Surgery,4,(312) 202-9000,http://yelp.com/biz/michael-horn-center-for-cosmetic-surgery-chicago?osq=plastic+surgery,http://www.lakeshoreplasticsurgery.com,,60 E Delaware Pl15th Fl,Chicago,IL,60611,Contacted
Natural,"Northwestern Specialists in Plastic Surgery, SC",4.5,(312) 266-6240,http://yelp.com/biz/northwestern-specialists-in-plastic-surgery-sc-chicago?osq=plastic+surgery,http://www.northwesternplastics.com,,676 N St. Clair StSte 1525A,Chicago,IL,60611,Contacted
Natural,Orland Park Plastic Surgery,5,(708) 873-9600,http://yelp.com/biz/orland-park-plastic-surgery-orland-park?osq=plastic+surgery,http://www.orlandparkplasticsurgery.com,,8760 W 159th StSte 204,Orland Park,IL,60462,Contacted
Natural,Chicago Institute of Plastic Surgery,4.5,(224) 238-3816,http://yelp.com/biz/chicago-institute-of-plastic-surgery-hoffman-estates-2?osq=plastic+surgery,http://www.ciplasticsurgery.com,,1800 McDonough Rd,Hoffman Estates,IL,60192,Contacted
Natural,JW Plastic Surgery,5,(312) 642-0400,http://yelp.com/biz/jw-plastic-surgery-chicago-2?osq=plastic+surgery,http://www.jwplasticsurgery.com,,"Water Tower Place845 N Michigan Ave, Ste 980W",Chicago,IL,60611,Contacted
Natural,Aesthetic Plastic Surgery Center of Barrington,5,(847) 382-4160,http://yelp.com/biz/aesthetic-plastic-surgery-center-of-barrington-south-barrington-2?osq=plastic+surgery,http://www.barringtonplasticsurgery.com,,20 Executive CtSte 3,South Barrington,IL,60010,Contacted
Natural,Lakeview Plastic Surgery,5,(773) 883-8234,http://yelp.com/biz/lakeview-plastic-surgery-chicago?osq=plastic+surgery,http://www.lakeviewplasticsurgery.com,,3000 N Halsted StSte 707,Chicago,IL,60657,
Natural,Chicagoland Aesthetics,4.5,(847) 884-8346,http://yelp.com/biz/chicagoland-aesthetics-schaumburg?osq=plastic+surgery,http://www.chicagolandaesthetics.com,,501 W Golf Rd,Schaumburg,IL,60195,Contacted
Natural,The Art of Plastic Surgery,5,(773) 763-3990,http://yelp.com/biz/the-art-of-plastic-surgery-chicago-2?osq=plastic+surgery,http://www.theartofplasticsurgery.com,,5440 N Cumberland Ave# 105,Chicago,IL,60656,Contacted
Natural,"Douglas Sidle, MD",4,(312) 695-8182,http://yelp.com/biz/douglas-sidle-md-chicago-2?osq=plastic+surgery,http://www.drsidle.com,,675 N St ClairGalter 15-200,Chicago,IL,60611,Contacted
Natural,"Adam J Cohen, MD",4,(847) 834-0390,http://yelp.com/biz/adam-j-cohen-md-glenview?osq=plastic+surgery,http://www.theartofeyes.com,,2591 Compass RdSuite 115,Glenview,IL,60026,Contacted
Natural,"John Kim, MD",5,(312) 695-6022,http://yelp.com/biz/john-kim-md-chicago?osq=plastic+surgery,http://www.drkimsurgery.com,,Northwestern Memorial Hospital675 N Saint Clair StSte 19-250,Chicago,IL,60611,Contacted
Natural,"Beata Danek, MD",4,(773) 792-8181,http://yelp.com/biz/beata-danek-md-chicago?osq=plastic+surgery,http://www.drdanek.com,,New You Cosmetic Medicine5545 N Milwaukee Ave,Chicago,IL,60630,Contacted
Natural,"Lawrence H Iteld, MD",5,(312) 757-4505,http://yelp.com/biz/lawrence-h-iteld-md-chicago?osq=plastic+surgery,http://www.driteld.com,,1460 N Halsted StSte 505,Chicago,IL,60642,Contacted
Natural,Wiesman Cosmetic Surgery & Wellness Institute,4,(312) 981-1290,http://yelp.com/biz/wiesman-cosmetic-surgery-and-wellness-institute-chicago-7?osq=plastic+surgery,http://www.wiesmaninstitute.com,,712 N Dearborn St,Chicago,IL,60654,Contacted
Natural,"David Shifrin, MD",5,(708) 229-2139,http://yelp.com/biz/david-shifrin-md-chicago?osq=plastic+surgery,http://www.davidshifrinmd.com,,680 North Lakeshore DrSte 1425,Chicago,IL,60611,Contacted
Natural,Northwestern Institute of Cosmetic Surgery,5,(312) 988-7777,http://yelp.com/biz/northwestern-institute-of-cosmetic-surgery-chicago?osq=plastic+surgery,http://www.midwestearnosethroat.com,,3 East Huron St1st Fl,Chicago,IL,60611,Contacted
Natural,St Charles Plastic Surgery,4.5,(630) 762-9697,http://yelp.com/biz/st-charles-plastic-surgery-saint-charles?osq=plastic+surgery,http://www.stcharlesplasticsurgery.com,,2900 Foxfield Rd Ste 201,Saint Charles,IL,60174,Contacted
Natural,The Few Institute For Aesthetic Plastic Surgery,4,(312) 202-0882,http://yelp.com/biz/the-few-institute-for-aesthetic-plastic-surgery-chicago?osq=plastic+surgery,http://www.fewinstitute.com,,875 N Michigan Ave Ste 3850,Chicago,IL,60611,Contacted
Natural,"Anthony P Terrasse, MD",5,(847) 234-2400,http://yelp.com/biz/anthony-p-terrasse-md-lake-forest-3?osq=plastic+surgery,http://www.terrasse.com,,700 N Westmoreland RdBldg D,Lake Forest,IL,60045,
